,Pais,Anio,Emisiones_de_CO2
212,Canadá,1984,375.03566673
213,Canadá,1985,409.948811646
214,Canadá,1986,410.46073643
215,Canadá,1987,404.424378371
216,Canadá,1988,422.689216772
217,Canadá,1989,455.940316746
218,Canadá,1990,467.660751011
219,Canadá,1991,432.769371574
220,Canadá,1992,425.954809792
221,Canadá,1993,448.628647902
222,Canadá,1994,447.593296858
223,Canadá,1995,460.939704003
224,Canadá,1996,468.107544816
225,Canadá,1997,479.172343541
226,Canadá,1998,492.264723421
227,Canadá,1999,488.875614161
228,Canadá,2000,508.913614317
229,Canadá,2001,511.886988989
230,Canadá,2002,524.378312115
231,Canadá,2003,536.97267353
232,Canadá,2004,565.040972151
233,Canadá,2005,571.37491098
234,Canadá,2006,573.270938449
235,Canadá,2007,575.64254776
236,Canadá,2008,574.754088323
237,Canadá,2009,556.831459616
238,Canadá,2010,541.451146808
239,Canadá,2011,570.776514402
240,Canadá,2012,575.290339771
241,Canadá,2013,578.023760247
242,Canadá,2014,587.992244772
243,Canadá,2015,589.561745673
244,Canadá,2016,591.027612427
245,Canadá,2017,579.44204222
246,Canadá,2018,601.402386621
247,Canadá,2019,613.089866972
248,Guyana,1988,1.1
249,Guyana,1989,1.1
250,Guyana,1990,0.7
251,Guyana,1991,0.7
252,Guyana,1992,0.8
253,Guyana,1993,0.9
254,Guyana,1994,1.2
255,Guyana,1995,1.2
256,Guyana,1996,1.0
257,Guyana,1997,1.0
258,Guyana,1998,1.1
259,Guyana,1999,1.4
260,Guyana,2000,1.5
261,Guyana,2001,1.7
262,Guyana,2002,1.7
263,Guyana,2003,1.8
264,Guyana,2004,1.7
265,Guyana,2005,1.5
266,Guyana,2006,1.7
267,Guyana,2007,1.6
268,Guyana,2008,1.519155927
269,Guyana,2009,1.5
270,Guyana,2010,1.6
271,Guyana,2011,1.6
272,Guyana,2012,1.841371515
273,Guyana,2013,2.080137006
274,Guyana,2014,2.028611814
275,Guyana,2015,2.028761361
276,Guyana,2016,2.099613
277,Guyana,2017,2.361872
278,Guyana,2018,2.281382873
279,Guyana,2019,2.321942783
280,México,1980,-1.0
281,México,1981,197.684967359
282,México,1982,207.174404903
283,México,1983,208.190283877
284,México,1984,207.242513322
285,México,1985,244.437538586
286,México,1986,256.242580686
287,México,1987,255.969450487
288,México,1988,265.179124216
289,México,1989,264.933915824
290,México,1990,280.350300145
291,México,1991,273.932352164
292,México,1992,292.840432254
293,México,1993,295.450093473
294,México,1994,310.448105314
295,México,1995,338.480217282
296,México,1996,320.840693538
297,México,1997,330.382519844
298,México,1998,345.493782813
299,México,1999,371.58924943
300,México,2000,364.302191981
301,México,2001,382.617491068
302,México,2002,384.93383811
303,México,2003,389.419359794
304,México,2004,406.170841121
305,México,2005,412.972647725
306,México,2006,428.883340555
307,México,2007,444.975470938
308,México,2008,454.440333464
309,México,2009,451.098996546
310,México,2010,451.366099216
311,México,2011,448.709210635
312,México,2012,464.009976022
313,México,2013,465.375717837
314,México,2014,469.139643463
315,México,2015,452.339353307
316,México,2016,465.320401255
317,México,2017,474.74942103
318,México,2018,472.354715405
319,México,2019,456.148338455
320,Panamá,1988,12.0
321,Panamá,1989,11.038431678
322,Panamá,1990,11.036030926
323,Panamá,1991,12.076866346
324,Panamá,1992,12.108093206
325,Panamá,1993,12.100885397
326,Panamá,1994,12.127312035
327,Panamá,1995,13.129712787
328,Panamá,1996,14.086475333
329,Panamá,1997,12.041512074
