Anio,Pais,Emisiones_de_CO2
1984,Estados Unidos,4383.942232
1985,Estados Unidos,4612.856171
1986,Estados Unidos,4605.354533
1987,Estados Unidos,4615.662207
1988,Estados Unidos,4775.551396
1989,Estados Unidos,4998.211912
1990,Estados Unidos,5084.558664
1991,Estados Unidos,5037.896431
1992,Estados Unidos,4992.684743
1993,Estados Unidos,5093.879398
1994,Estados Unidos,5185.520158
1995,Estados Unidos,5262.663333
1996,Estados Unidos,5324.311399
1997,Estados Unidos,5518.030044
1998,Estados Unidos,5589.322021
1999,Estados Unidos,5636.733477
2000,Estados Unidos,5700.252865
2001,Estados Unidos,5888.592478
2002,Estados Unidos,5777.788286
2003,Estados Unidos,5820.025298
2004,Estados Unidos,5886.416623
2005,Estados Unidos,5993.719256
2006,Estados Unidos,6006.994255
2007,Estados Unidos,5929.329204
2008,Estados Unidos,6015.537927
2009,Estados Unidos,5823.12664
2010,Estados Unidos,5403.664819
2011,Estados Unidos,5593.662183
2012,Estados Unidos,5454.696471
2013,Estados Unidos,5236.322549
2014,Estados Unidos,5358.870231
2015,Estados Unidos,5413.878798
2016,Estados Unidos,5262.075715
2017,Estados Unidos,5169.496984
2018,Estados Unidos,5131.08098
2019,Estados Unidos,5277.192754
2005,Antigua y Barbuda,0.6
2006,Antigua y Barbuda,0.6
2008,Antigua y Barbuda,0.690569119
2012,Antigua y Barbuda,0.690076094
2013,Antigua y Barbuda,0.707217069
2014,Antigua y Barbuda,0.705863443
2015,Antigua y Barbuda,0.719317413
2016,Antigua y Barbuda,0.751413
2017,Antigua y Barbuda,0.762758
2018,Antigua y Barbuda,0.7159054
2019,Antigua y Barbuda,0.7348894
1981,Antigua y Barbuda,0.40738
1995,Antigua y Barbuda,0.5
1996,Antigua y Barbuda,0.5
1997,Antigua y Barbuda,0.5
1998,Antigua y Barbuda,0.5
1999,Antigua y Barbuda,0.5
2000,Antigua y Barbuda,0.5
2001,Antigua y Barbuda,0.5
2002,Antigua y Barbuda,0.5
2003,Antigua y Barbuda,0.5
2004,Antigua y Barbuda,0.5
1983,Antigua y Barbuda,0.5
1980,Antigua y Barbuda,-1.0
1984,Antigua y Barbuda,0.3
1985,Antigua y Barbuda,0.3
1986,Antigua y Barbuda,0.3
1987,Antigua y Barbuda,0.3
2007,Antigua y Barbuda,0.7
2009,Antigua y Barbuda,0.7
2010,Antigua y Barbuda,0.7
2011,Antigua y Barbuda,0.7
1988,Antigua y Barbuda,0.4
1989,Antigua y Barbuda,0.4
1990,Antigua y Barbuda,0.4
1991,Antigua y Barbuda,0.4
1992,Antigua y Barbuda,0.4
1993,Antigua y Barbuda,0.4
1994,Antigua y Barbuda,0.4
1982,Antigua y Barbuda,0.4
1981,Trinidad y Tobago,10.55811155
1982,Trinidad y Tobago,10.09098155
1983,Trinidad y Tobago,9.8553101
1984,Trinidad y Tobago,10.641415517
1985,Trinidad y Tobago,14.1452896
1986,Trinidad y Tobago,15.3759508
1987,Trinidad y Tobago,11.227520933
1988,Trinidad y Tobago,10.528522983
1989,Trinidad y Tobago,10.738409367
1990,Trinidad y Tobago,11.3819631
1991,Trinidad y Tobago,12.21362635
1992,Trinidad y Tobago,13.64663089
1993,Trinidad y Tobago,13.872866417
1994,Trinidad y Tobago,14.887874455
1995,Trinidad y Tobago,17.046162027
1996,Trinidad y Tobago,17.86450763
1997,Trinidad y Tobago,19.681313957
1998,Trinidad y Tobago,21.312406829
1999,Trinidad y Tobago,21.211447449
2000,Trinidad y Tobago,21.880478254
2001,Trinidad y Tobago,23.140910253
2002,Trinidad y Tobago,26.010796625
2003,Trinidad y Tobago,27.461032975
2004,Trinidad y Tobago,32.960886708
2005,Trinidad y Tobago,31.064049235
2006,Trinidad y Tobago,34.732813727
2007,Trinidad y Tobago,44.742689699
2008,Trinidad y Tobago,43.865169545
2009,Trinidad y Tobago,48.081480207
2010,Trinidad y Tobago,46.448151748
2011,Trinidad y Tobago,51.571790933
2012,Trinidad y Tobago,53.195311581
2013,Trinidad y Tobago,50.936025637
2014,Trinidad y Tobago,56.568972932
2015,Trinidad y Tobago,55.19857812
2016,Trinidad y Tobago,54.230426218
2017,Trinidad y Tobago,48.957140339
2018,Trinidad y Tobago,40.878009766
2019,Trinidad y Tobago,40.485352133
1980,Trinidad y Tobago,-1.0
1988,República Dominicana,7.550533889
1989,República Dominicana,8.321128393
1990,República Dominicana,8.121781849
1991,República Dominicana,9.037029143
1992,República Dominicana,8.746251712
1993,República Dominicana,9.84461691
1994,República Dominicana,8.650892072
1995,República Dominicana,9.835323391
1996,República Dominicana,11.180759592
1997,República Dominicana,11.230629796
1998,República Dominicana,12.234988328
1999,República Dominicana,12.331823319
2000,República Dominicana,14.117588719
2001,República Dominicana,16.209870936
2002,República Dominicana,16.44555316
2003,República Dominicana,17.508820597
2004,República Dominicana,17.423597485
2005,República Dominicana,17.194172363
2006,República Dominicana,17.527672331
2007,República Dominicana,18.024368941
2008,República Dominicana,18.628428254
2009,República Dominicana,18.645610186
2010,República Dominicana,17.78396985
2011,República Dominicana,18.236588997
2012,República Dominicana,19.61785108
2013,República Dominicana,21.101810589
2014,República Dominicana,20.094532458
2015,República Dominicana,19.765231558
2016,República Dominicana,22.363435954
2017,República Dominicana,23.755323707
2018,República Dominicana,21.956523492
2019,República Dominicana,25.265246857
1981,República Dominicana,5.43528
1982,República Dominicana,5.2
1983,República Dominicana,5.6
1984,República Dominicana,6.715247294
1985,República Dominicana,5.928316403
1986,República Dominicana,6.148791341
1987,República Dominicana,6.860989176
1980,República Dominicana,-1.0
1988,San Cristóbal y Nieves,0.05665
1989,San Cristóbal y Nieves,0.0661
1990,San Cristóbal y Nieves,0.06612
1991,San Cristóbal y Nieves,0.06612
1992,San Cristóbal y Nieves,0.07555
1993,San Cristóbal y Nieves,0.07632
1994,San Cristóbal y Nieves,0.08587
1996,San Cristóbal y Nieves,0.09229
2008,San Cristóbal y Nieves,0.273423163
2012,San Cristóbal y Nieves,0.250060014
2013,San Cristóbal y Nieves,0.246182614
2014,San Cristóbal y Nieves,0.244904858
2015,San Cristóbal y Nieves,0.247872849
2016,San Cristóbal y Nieves,0.258403
2017,San Cristóbal y Nieves,0.265412
2018,San Cristóbal y Nieves,0.265947836
2019,San Cristóbal y Nieves,0.268462136
1981,San Cristóbal y Nieves,0.05054
1982,San Cristóbal y Nieves,0.05339
1983,San Cristóbal y Nieves,0.0616
1984,San Cristóbal y Nieves,0.05047
1985,San Cristóbal y Nieves,0.05054
1986,San Cristóbal y Nieves,0.05041
1987,San Cristóbal y Nieves,0.05351
1980,San Cristóbal y Nieves,-1.0
2009,San Cristóbal y Nieves,0.3
2010,San Cristóbal y Nieves,0.3
2011,San Cristóbal y Nieves,0.3
1995,San Cristóbal y Nieves,0.1
1997,San Cristóbal y Nieves,0.1
1998,San Cristóbal y Nieves,0.1
1999,San Cristóbal y Nieves,0.1
2000,San Cristóbal y Nieves,0.1
2001,San Cristóbal y Nieves,0.1
2002,San Cristóbal y Nieves,0.1
2003,San Cristóbal y Nieves,0.1
2004,San Cristóbal y Nieves,0.1
2005,San Cristóbal y Nieves,0.1
2006,San Cristóbal y Nieves,0.1
2007,San Cristóbal y Nieves,0.2
