Anio,Pais,Emisiones_de_CO2
1980,Bolivia,-1.0
1981,Canadá,422.549444322
1982,Canadá,398.856597679
1983,Canadá,386.261549661
1984,Canadá,375.03566673
1985,Canadá,409.948811646
1986,Canadá,410.46073643
1987,Canadá,404.424378371
1988,Canadá,422.689216772
1989,Canadá,455.940316746
1990,Canadá,467.660751011
1991,Canadá,432.769371574
1992,Canadá,425.954809792
1993,Canadá,448.628647902
1994,Canadá,447.593296858
1995,Canadá,460.939704003
1996,Canadá,468.107544816
1997,Canadá,479.172343541
1998,Canadá,492.264723421
1999,Canadá,488.875614161
2000,Canadá,508.913614317
2001,Canadá,511.886988989
2002,Canadá,524.378312115
2003,Canadá,536.97267353
2004,Canadá,565.040972151
2005,Canadá,571.37491098
2006,Canadá,573.270938449
2007,Canadá,575.64254776
2008,Canadá,574.754088323
2009,Canadá,556.831459616
2010,Canadá,541.451146808
2011,Canadá,570.776514402
2012,Canadá,575.290339771
2013,Canadá,578.023760247
2014,Canadá,587.992244772
2015,Canadá,589.561745673
2016,Canadá,591.027612427
2017,Canadá,579.44204222
2018,Canadá,601.402386621
2019,Canadá,613.089866972
1980,Canadá,-1.0
1988,Ecuador,13.131049967
1989,Ecuador,13.193126267
1990,Ecuador,12.193126267
1991,Ecuador,14.275894667
1992,Ecuador,14.222520456
1993,Ecuador,17.243580504
1994,Ecuador,15.243477043
1995,Ecuador,17.243477043
1996,Ecuador,17.292448347
1997,Ecuador,18.292296605
1998,Ecuador,18.243580504
1999,Ecuador,19.243580504
2000,Ecuador,18.246097522
2001,Ecuador,18.34393227
2002,Ecuador,19.39305512
2003,Ecuador,20.246516023
2004,Ecuador,20.369773209
2005,Ecuador,21.419323516
2006,Ecuador,22.641973635
2007,Ecuador,24.709095402
2008,Ecuador,24.076909232
2009,Ecuador,25.558637787
2010,Ecuador,28.639110565
2011,Ecuador,36.210170709
2012,Ecuador,35.736519347
2013,Ecuador,37.056250198
2014,Ecuador,38.459557542
2015,Ecuador,42.108566617
2016,Ecuador,38.799506427
2017,Ecuador,36.846046091
2018,Ecuador,34.741365749
2019,Ecuador,37.349371309
1981,Ecuador,12.016231
1982,Ecuador,12.137947333
1983,Ecuador,14.137947333
1984,Ecuador,12.206921
1985,Ecuador,12.275894667
1986,Ecuador,12.275894667
1987,Ecuador,13.206921
1980,Ecuador,-1.0
1988,Jamaica,5.2
1989,Jamaica,6.1
1990,Jamaica,7.041440326
1991,Jamaica,7.531337445
1992,Jamaica,7.828811725
1993,Jamaica,8.566697527
1994,Jamaica,8.638914606
1995,Jamaica,8.833863165
1996,Jamaica,9.938914606
1997,Jamaica,10.061646087
1998,Jamaica,10.169223247
1999,Jamaica,11.179326127
2000,Jamaica,11.181851847
2001,Jamaica,11.157857506
2002,Jamaica,11.133863165
2003,Jamaica,11.222263369
2004,Jamaica,11.214686209
2005,Jamaica,11.166697527
2006,Jamaica,11.149017486
2007,Jamaica,13.080823043
2008,Jamaica,13.290925924
2009,Jamaica,12.121234565
2010,Jamaica,9.328811725
2011,Jamaica,8.116183125
2012,Jamaica,8.534185784
2013,Jamaica,7.989962436
2014,Jamaica,8.810052361
2015,Jamaica,8.637067431
2016,Jamaica,8.539995644
