,Pais,Anio,Emisiones_de_CO2,Consumo_energia,Produccion_energia,PBI,Poblacion,Intencidad_per_capita,Intensidad_por_PBI,ISO,Región,Continente
0,Cuba,1988,34.53880162,0.4979446228821796,0.0521448359999998,88.3725,10397.5,47.89080287397736,5.63461057322334,CUB,Caribe,América
1,Cuba,1989,35.52797627,0.5077701482114522,0.0526903103606556,88.9735,10504.0,48.340646250138256,5.706981834045557,CUB,Caribe,América
2,Cuba,1990,35.625388774,0.4971585601013055,0.0555199868032785,86.3501,10597.0,46.91502879129051,5.757475209655873,CUB,Caribe,América
3,Cuba,1991,35.562073543,0.46261988988328,0.0535643613032785,77.1169,10673.5,43.34284816445215,5.998943031725601,CUB,Caribe,América
4,Cuba,1992,32.389277113,0.4116451786580474,0.0586382547999998,68.1863,10736.4,38.34108068421887,6.037065783860504,CUB,Caribe,América
5,Cuba,1993,29.25668561,0.4023035889884776,0.0626917071475408,58.0414,10789.3,37.28727433554333,6.931321246359971,CUB,Caribe,América
6,Cuba,1994,28.168230551,0.4066863081618257,0.071774547377049,58.4575,10838.5,37.52237931095869,6.956956903080455,CUB,Caribe,América
7,Cuba,1995,29.196105042,0.4146179765907181,0.0741165283688522,59.894,10888.2,38.0795702311418,6.92252941180616,CUB,Caribe,América
8,Cuba,1996,31.207549721,0.427557128476829,0.0869096284149997,64.5889,10939.3,39.084505267871705,6.6196688359273645,CUB,Caribe,América
9,Cuba,1997,30.194188938,0.4705361885318631,0.1136536439713112,66.3814,10989.7,42.81610858639117,7.088373980239391,CUB,Caribe,América
10,Cuba,1998,33.588388758,0.4476163119892146,0.1011884457786883,66.4887,11038.7,40.54973067383067,6.732216331334718,CUB,Caribe,América
11,Cuba,1999,32.910194714,0.3872855311334536,0.1215591977803276,70.6048,11084.7,34.938747204115,5.485257817222816,CUB,Caribe,América
12,Cuba,2000,33.108387109,0.3745495562934543,0.1316879038999997,74.7815,11126.4,33.66313958634009,5.008585763771177,CUB,Caribe,América
13,Cuba,2001,32.295198036,0.3449344926294999,0.1394589626688521,77.1633,11164.7,30.89509728246168,4.470188452664672,CUB,Caribe,América
14,Cuba,2002,32.68766906,0.349061584582346,0.1352434790499996,78.2632,11199.7,31.167047740773956,4.460098546728808,CUB,Caribe,América
15,Cuba,2003,33.799902475,0.3543114128217582,0.1523065460057373,81.2321,11229.2,31.55268521548804,4.361716769870018,CUB,Caribe,América
16,Cuba,2004,32.825485415,0.3587387440247926,0.1593232050339995,85.9193,11250.4,31.88675460648445,4.175298728280987,CUB,Caribe,América
17,Cuba,2005,32.827538445,0.353001875483811,0.1426961100475406,95.5421,11261.6,31.345623666602528,3.694725942634829,CUB,Caribe,América
18,Cuba,2006,28.86738089,0.3440669106602036,0.1409223979491799,107.072,11261.2,30.553307876620927,3.2134163054785905,CUB,Caribe,América
19,Cuba,2007,24.827564418,0.3474981446391005,0.1447685946272783,114.846,11251.1,30.885704032414655,3.0257749041246584,CUB,Caribe,América
20,Cuba,2008,19.084673907,0.3975094441346791,0.1701724801999996,119.575,11237.0,35.37505064827615,3.324352449380549,CUB,Caribe,América
21,Cuba,2009,29.219507182,0.4004933202865049,0.1666882345360016,121.31,11226.7,35.67328959413763,3.3014040086267,CUB,Caribe,América
22,Cuba,2010,29.22173837,0.4550859835398979,0.1734993412313082,124.21,11225.8,40.53929194711272,3.6638433583439167,CUB,Caribe,América
23,Cuba,2011,28.057056726,0.4087793089957065,0.1720110337401832,127.691,11236.7,36.37894657645987,3.2013165297139703,CUB,Caribe,América
24,Cuba,2012,25.041649313,0.4447761087111344,0.1713116619480796,131.541,11257.1,39.510718454231935,3.381273585506682,CUB,Caribe,América
25,Cuba,2013,28.369444739,0.4265856445157456,0.1707765996314691,135.155,11282.7,37.80882630183783,3.156269797756248,CUB,Caribe,América
26,Cuba,2014,27.117107824,0.4345588971936076,0.1748611867634091,136.571,11306.9,38.43307159288644,3.181926596375568,CUB,Caribe,América
27,Cuba,2015,27.815524427,0.4355569599953974,0.168510887084875,142.632,11324.8,38.46045493036498,3.0537113690854607,CUB,Caribe,América
28,Cuba,2016,30.158298974,0.3396163300450847,0.1591534091583156,143.365,11335.1,29.96147630326021,2.3688928960700646,CUB,Caribe,América
29,Cuba,2017,23.149599654,0.3618349181119024,0.1469205689997898,145.958,11339.2,31.910092256235227,2.479034503842904,CUB,Caribe,América
30,Cuba,2018,20.961049262,0.3794362266131974,0.1484336331177439,149.24,11335.0,33.47474429759131,2.542456624317861,CUB,Caribe,América
31,Cuba,2019,22.496372604,0.3715685526254388,0.1451236392566554,152.228,11330.8,32.79279067898461,2.4408686485103845,CUB,Caribe,América
32,Perú,1988,24.101488699,0.4518044100142069,0.4555425213614128,134.483,21153.5,21.358376155917785,3.3595652239629312,PER,América del Sur,América
33,Perú,1989,23.972440327,0.4071350601659481,0.4277205889765621,117.631,21614.2,18.83646214830751,3.4611204543525784,PER,América del Sur,América
34,Perú,1990,20.802809406,0.3866600051646225,0.4057711326159543,112.182,22071.4,17.51859896357379,3.4467205537842305,PER,América del Sur,América
35,Perú,1991,19.619105755,0.3805560506224176,0.385384407078003,114.383,22522.4,16.896780566121624,3.3270333058445547,PER,América del Sur,América
36,Perú,1992,18.854412962,0.3740878974860427,0.3698273176660647,113.75,22966.8,16.288202861784956,3.288684813064112,PER,América del Sur,América
37,Perú,1993,19.696323943,0.4282132707096982,0.4249534061416934,119.604,23408.1,18.293380099610744,3.580258776543412,PER,América del Sur,América
