Pais,Anio,Emisiones_de_CO2,Consumo_energia,Produccion_energia,PBI,Poblacion,Intencidad_per_capita,Intensidad_por_PBI
Cuba,1988,34.53880162,0.49794462288217967,0.052144835999999889,88.3725,10397.5,47.890802873977364,5.63461057322334
Cuba,1989,35.52797627,0.50777014821145228,0.052690310360655628,88.9735,10504.0,48.340646250138263,5.7069818340455569
Cuba,1990,35.625388774,0.49715856010130555,0.05551998680327859,86.3501,10597.0,46.91502879129051,5.7574752096558726
Cuba,1991,35.562073543,0.46261988988328007,0.053564361303278588,77.1169,10673.5,43.34284816445215,5.9989430317256014
Cuba,1992,32.389277113,0.41164517865804745,0.058638254799999887,68.1863,10736.4,38.341080684218866,6.0370657838605037
Cuba,1993,29.25668561,0.40230358898847762,0.06269170714754084,58.0414,10789.3,37.28727433554333,6.9313212463599712
Cuba,1994,28.168230551,0.40668630816182572,0.071774547377049011,58.4575,10838.5,37.522379310958684,6.9569569030804548
Cuba,1995,29.196105042,0.41461797659071814,0.074116528368852283,59.894,10888.2,38.0795702311418,6.92252941180616
Cuba,1996,31.207549721,0.427557128476829,0.086909628414999787,64.5889,10939.3,39.084505267871705,6.6196688359273645
Cuba,1997,30.194188938,0.47053618853186313,0.11365364397131127,66.3814,10989.7,42.816108586391174,7.0883739802393908
Cuba,1998,33.588388758,0.44761631198921464,0.1011884457786883,66.4887,11038.7,40.549730673830673,6.7322163313347181
Cuba,1999,32.910194714,0.3872855311334536,0.1215591977803276,70.6048,11084.7,34.938747204115,5.4852578172228172
Cuba,2000,33.108387109,0.37454955629345432,0.13168790389999976,74.7815,11126.4,33.663139586340087,5.008585763771177
Cuba,2001,32.295198036,0.34493449262949993,0.13945896266885216,77.1633,11164.7,30.895097282461681,4.4701884526646722
Cuba,2002,32.68766906,0.34906158458234604,0.13524347904999967,78.2632,11199.7,31.167047740773953,4.4600985467288075
Cuba,2003,33.799902475,0.35431141282175826,0.15230654600573731,81.2321,11229.2,31.552685215488037,4.3617167698700179
Cuba,2004,32.825485415,0.35873874402479267,0.15932320503399958,85.9193,11250.4,31.886754606484448,4.1752987282809872
Cuba,2005,32.827538445,0.35300187548381107,0.1426961100475406,95.5421,11261.6,31.345623666602531,3.6947259426348289
Cuba,2006,28.86738089,0.34406691066020362,0.14092239794917996,107.072,11261.2,30.553307876620931,3.2134163054785905
Cuba,2007,24.827564418,0.34749814463910056,0.14476859462727831,114.846,11251.1,30.885704032414658,3.0257749041246584
Cuba,2008,19.084673907,0.39750944413467915,0.17017248019999962,119.575,11237.0,35.375050648276151,3.324352449380549
Cuba,2009,29.219507182,0.40049332028650492,0.16668823453600162,121.31,11226.7,35.673289594137628,3.3014040086266996
Cuba,2010,29.22173837,0.45508598353989793,0.17349934123130822,124.21,11225.8,40.539291947112716,3.6638433583439172
Cuba,2011,28.057056726,0.40877930899570658,0.17201103374018323,127.691,11236.7,36.378946576459867,3.2013165297139703
Cuba,2012,25.041649313,0.44477610871113443,0.17131166194807962,131.541,11257.1,39.510718454231942,3.381273585506682
Cuba,2013,28.369444739,0.42658564451574565,0.17077659963146913,135.155,11282.7,37.808826301837826,3.1562697977562477
Cuba,2014,27.117107824,0.43455889719360768,0.17486118676340914,136.571,11306.9,38.433071592886442,3.1819265963755679
Cuba,2015,27.815524427,0.43555695999539745,0.16851088708487505,142.632,11324.8,38.460454930364989,3.0537113690854607
Cuba,2016,30.158298974,0.33961633004508479,0.15915340915831566,143.365,11335.1,29.961476303260209,2.3688928960700646
Cuba,2017,23.149599654,0.36183491811190249,0.14692056899978984,145.958,11339.2,31.910092256235227,2.4790345038429034
Cuba,2018,20.961049262,0.37943622661319748,0.14843363311774393,149.24,11335.0,33.474744297591307,2.5424566243178606
Cuba,2019,22.496372604,0.37156855262543881,0.14512363925665542,152.228,11330.8,32.792790678984609,2.4408686485103845
Perú,1988,24.101488699,0.4518044100142069,0.45554252136141288,134.483,21153.5,21.358376155917785,3.3595652239629312
Perú,1989,23.972440327,0.40713506016594819,0.42772058897656218,117.631,21614.2,18.836462148307511,3.4611204543525784
Perú,1990,20.802809406,0.38666000516462251,0.40577113261595432,112.182,22071.4,17.51859896357379,3.4467205537842305
Perú,1991,19.619105755,0.38055605062241765,0.385384407078003,114.383,22522.4,16.896780566121624,3.3270333058445547
Perú,1992,18.854412962,0.37408789748604276,0.36982731766606475,113.75,22966.8,16.288202861784956,3.288684813064112
Perú,1993,19.696323943,0.42821327070969822,0.42495340614169341,119.604,23408.1,18.293380099610744,3.580258776543412
Perú,1994,22.228113777,0.45093812595379473,0.43957998861902386,134.211,23851.4,18.906149154925696,3.359919276019065
Perú,1995,23.147096541,0.47282762981153731,0.44187249902185727,144.055,24299.2,19.458567764022572,3.2822715616364393
Perú,1996,24.145541895,0.50541771077558872,0.4286359607962586,148.021,24753.8,20.417782755600705,3.4145000423966105
Perú,1997,25.127879899,0.48380664501196335,0.39723550274566483,157.595,25211.0,19.190299671253157,3.0699365145592394
Perú,1998,24.850681262,0.49976908284914767,0.40208399384978111,157.103,25658.1,19.478023815058311,3.181155565769894
Perú,1999,25.277597637,0.52671349440529192,0.38999457030385526,159.439,26078.3,20.197386118163067,3.3035423855223121
Perú,2000,26.366250528,0.54186826648310027,0.38707520788557492,163.817,26459.9,20.478847859708473,3.3077657781738177
Perú,2001,26.447421195,0.53311734481650885,0.39933417647757069,164.801,26799.3,19.892957831604139,3.2349157154174355
Perú,2002,25.370979121,0.53935894029553066,0.4030794953793102,173.8,27101.0,19.901809538228505,3.1033310718960339
